name,name1,weight
권은희,유은혜,1-10 / 410건
권은희,유인태,1-10 / 107건
권은희,윤관석,1-10 / 132건
권은희,윤호중,1-10 / 106건
권은희,윤후덕,1-10 / 275건
권은희,은수미,1-10 / 172건
권은희,이개호,1-10 / 669건
권은희,이목희,1-10 / 52건
권은희,이미경,1-10 / 116건
권은희,이상민,1-10 / 189건
권은희,이상직,1-10 / 238건
권은희,이석현,1-10 / 133건
권은희,이언주,1-10 / 344건
권은희,이원욱,1-10 / 86건
권은희,이윤석,1-10 / 239건
권은희,이인영,1-10 / 269건
권은희,이종걸,1-10 / 743건
권은희,이찬열,1-10 / 120건
권은희,이춘석,1-10 / 350건
권은희,이학영,1-10 / 50건
권은희,이해찬,1-10 / 194건
권은희,인재근,1-10 / 61건
권은희,임내현,1-10 / 418건
권은희,임수경,1-10 / 134건
권은희,장병완,1-10 / 646건
권은희,장하나,1-10 / 147건
권은희,전병헌,1-10 / 791건
권은희,전순옥,1-10 / 78건
권은희,전정희,1-10 / 92건
권은희,전해철,1-10 / 141건
권은희,정성호,1-10 / 352건
권은희,정세균,1-10 / 296건
권은희,정청래,1-10 / 797건
권은희,정호준,1-10 / 265건
권은희,조경태,1-10 / 333건
권은희,조정식,1-10 / 70건
권은희,주승용,1-10 / 615건
권은희,진선미,1-10 / 455건
권은희,진성준,1-10 / 276건
권은희,최규성,1-10 / 117건
권은희,최동익,1-10 / 47건
권은희,최민희,1-10 / 408건
권은희,최재성,1-10 / 75건
권은희,최재천,1-10 / 219건
권은희,최원식,1-10 / 563건
권은희,추미애,1-10 / 123건
권은희,한명숙,1-10 / 360건
권은희,한정애,1-10 / 390건
권은희,홍영표,1-10 / 103건
권은희,홍의락,1-10 / 253건
권은희,홍익표,1-10 / 117건
권은희,홍종학,1-10 / 86건
권은희,황주홍,1-10 / 252건
김경협,김관영,1-10 / 309건
김경협,김광진,1-10 / 312건
김경협,김기식,1-10 / 247건
김경협,김기준,1-10 / 233건
김경협,김동철,1-10 / 166건
김경협,김민기,1-10 / 133건
김경협,김상희,1-10 / 606건
김경협,김성곤,1-10 / 168건
김경협,김성주,1-10 / 304건
김경협,김승남,1-10 / 302건
김경협,김영록,1-10 / 204건
김경협,김영주,1-10 / 134건
김경협,김영환,1-10 / 148건
김경협,김용익,1-10 / 390건
김경협,김우남,1-10 / 109건
김경협,김윤덕,1-10 / 222건
김경협,김재윤,1-10 / 149건
김경협,김춘진,1-10 / 109건
김경협,김태년,1-10 / 319건
김경협,김한길,1-10 / 415건
김경협,김현,1-10 / 312건
김경협,김현미,1-10 / 341건
김경협,남인순,1-10 / 102건
김경협,노영민,1-10 / 332건
김경협,노웅래,1-10 / 135건
김경협,도종환,1-10 / 211건
김경협,문병호,1-10 / 265건
김경협,문재인,"1-10 / 1,615건"
김경협,문희상,1-10 / 264건
김경협,민병두,1-10 / 210건
김경협,민홍철,1-10 / 244건
김경협,박광온,1-10 / 87건
김경협,박기춘,1-10 / 188건
김경협,박남춘,1-10 / 337건
김경협,박민수,1-10 / 189건
김경협,박범계,1-10 / 317건
김경협,박병석,1-10 / 74건
김경협,박수현,1-10 / 357건
김경협,박완주,1-10 / 274건
김경협,박영선,1-10 / 312건
김경협,박주선,1-10 / 186건
김경협,박지원,1-10 / 665건
김경협,박혜자,1-10 / 119건
김경협,박홍근,1-10 / 316건
김경협,배재정,1-10 / 314건
김경협,백군기,1-10 / 148건
김경협,백재현,1-10 / 252건
김경협,변재일,1-10 / 99건
김경협,부좌현,1-10 / 229건
김경협,서영교,1-10 / 478건
김경협,설훈,1-10 / 280건
김경협,송호창,1-10 / 143건
김경협,신경민,1-10 / 199건
김경협,신계륜,1-10 / 242건
김경협,신기남,1-10 / 213건
김경협,신정훈,1-10 / 34건
김경협,신학용,1-10 / 124건
김경협,심재권,1-10 / 120건
김경협,안규백,1-10 / 273건
김경협,안민석,1-10 / 276건
김경협,안철수,1-10 / 442건
김경협,양승조,1-10 / 309건
김경협,오영식,1-10 / 240건
김경협,오제세,1-10 / 82건
김경협,우상호,1-10 / 167건
김경협,우원식,1-10 / 302건
김경협,우윤근,1-10 / 459건
김경협,원혜영,1-10 / 356건
김경협,유기홍,1-10 / 229건
김경협,유대운,1-10 / 251건
김경협,유성엽,1-10 / 513건
김경협,유승희,1-10 / 246건
김경협,유은혜,1-10 / 395건
김경협,유인태,1-10 / 101건
김경협,윤관석,1-10 / 255건
김경협,윤호중,1-10 / 357건
김경협,윤후덕,1-10 / 364건
김경협,은수미,1-10 / 482건
김경협,이개호,1-10 / 151건
김경협,이목희,1-10 / 267건
김경협,이미경,1-10 / 247건
김경협,이상민,1-10 / 149건
김경협,이상직,1-10 / 119건
김경협,이석현,1-10 / 184건
김경협,이언주,1-10 / 293건
김경협,이원욱,1-10 / 289건
김경협,이윤석,1-10 / 144건
김경협,이인영,1-10 / 255건
